identificador,rut,email,Nombre,apellido,especialidad
0,rutdoctor0,correo0@doctor.com,nombredoctor0,apellidodoctor0,General
1,rutdoctor1,correo1@doctor.com,nombredoctor1,apellidodoctor1,Cardiologia
2,rutdoctor2,correo2@doctor.com,nombredoctor2,apellidodoctor2,Broncopulmonar
3,rutdoctor3,correo3@doctor.com,nombredoctor3,apellidodoctor3,Gastronterologo
4,rutdoctor4,correo4@doctor.com,nombredoctor4,apellidodoctor4,Dermatologia
5,rutdoctor5,correo5@doctor.com,nombredoctor5,apellidodoctor5,General
6,rutdoctor6,correo6@doctor.com,nombredoctor6,apellidodoctor6,Cardiologia
7,rutdoctor7,correo7@doctor.com,nombredoctor7,apellidodoctor7,Broncopulmonar
8,rutdoctor8,correo8@doctor.com,nombredoctor8,apellidodoctor8,Gastronterologo
9,rutdoctor9,correo9@doctor.com,nombredoctor9,apellidodoctor9,Dermatologia
10,rutdoctor10,correo10@doctor.com,nombredoctor10,apellidodoctor10,General
11,rutdoctor11,correo11@doctor.com,nombredoctor11,apellidodoctor11,Cardiologia
12,rutdoctor12,correo12@doctor.com,nombredoctor12,apellidodoctor12,Broncopulmonar
13,rutdoctor13,correo13@doctor.com,nombredoctor13,apellidodoctor13,Gastronterologo
14,rutdoctor14,correo14@doctor.com,nombredoctor14,apellidodoctor14,Dermatologia
15,rutdoctor15,correo15@doctor.com,nombredoctor15,apellidodoctor15,General
16,rutdoctor16,correo16@doctor.com,nombredoctor16,apellidodoctor16,Cardiologia
17,rutdoctor17,correo17@doctor.com,nombredoctor17,apellidodoctor17,Broncopulmonar
18,rutdoctor18,correo18@doctor.com,nombredoctor18,apellidodoctor18,Gastronterologo
19,rutdoctor19,correo19@doctor.com,nombredoctor19,apellidodoctor19,Dermatologia
20,rutdoctor20,correo20@doctor.com,nombredoctor20,apellidodoctor20,General
21,rutdoctor21,correo21@doctor.com,nombredoctor21,apellidodoctor21,Cardiologia
22,rutdoctor22,correo22@doctor.com,nombredoctor22,apellidodoctor22,Broncopulmonar
23,rutdoctor23,correo23@doctor.com,nombredoctor23,apellidodoctor23,Gastronterologo
24,rutdoctor24,correo24@doctor.com,nombredoctor24,apellidodoctor24,Dermatologia
25,rutdoctor25,correo25@doctor.com,nombredoctor25,apellidodoctor25,General
26,rutdoctor26,correo26@doctor.com,nombredoctor26,apellidodoctor26,Cardiologia
27,rutdoctor27,correo27@doctor.com,nombredoctor27,apellidodoctor27,Broncopulmonar
28,rutdoctor28,correo28@doctor.com,nombredoctor28,apellidodoctor28,Gastronterologo
29,rutdoctor29,correo29@doctor.com,nombredoctor29,apellidodoctor29,Dermatologia
30,rutdoctor30,correo30@doctor.com,nombredoctor30,apellidodoctor30,General
31,rutdoctor31,correo31@doctor.com,nombredoctor31,apellidodoctor31,Cardiologia
32,rutdoctor32,correo32@doctor.com,nombredoctor32,apellidodoctor32,Broncopulmonar
33,rutdoctor33,correo33@doctor.com,nombredoctor33,apellidodoctor33,Gastronterologo
34,rutdoctor34,correo34@doctor.com,nombredoctor34,apellidodoctor34,Dermatologia
35,rutdoctor35,correo35@doctor.com,nombredoctor35,apellidodoctor35,General
36,rutdoctor36,correo36@doctor.com,nombredoctor36,apellidodoctor36,Cardiologia
37,rutdoctor37,correo37@doctor.com,nombredoctor37,apellidodoctor37,Broncopulmonar
38,rutdoctor38,correo38@doctor.com,nombredoctor38,apellidodoctor38,Gastronterologo
39,rutdoctor39,correo39@doctor.com,nombredoctor39,apellidodoctor39,Dermatologia
40,rutdoctor40,correo40@doctor.com,nombredoctor40,apellidodoctor40,General
41,rutdoctor41,correo41@doctor.com,nombredoctor41,apellidodoctor41,Cardiologia
42,rutdoctor42,correo42@doctor.com,nombredoctor42,apellidodoctor42,Broncopulmonar
43,rutdoctor43,correo43@doctor.com,nombredoctor43,apellidodoctor43,Gastronterologo
44,rutdoctor44,correo44@doctor.com,nombredoctor44,apellidodoctor44,Dermatologia
45,rutdoctor45,correo45@doctor.com,nombredoctor45,apellidodoctor45,General
46,rutdoctor46,correo46@doctor.com,nombredoctor46,apellidodoctor46,Cardiologia
47,rutdoctor47,correo47@doctor.com,nombredoctor47,apellidodoctor47,Broncopulmonar
48,rutdoctor48,correo48@doctor.com,nombredoctor48,apellidodoctor48,Gastronterologo
49,rutdoctor49,correo49@doctor.com,nombredoctor49,apellidodoctor49,Dermatologia
50,rutdoctor50,correo50@doctor.com,nombredoctor50,apellidodoctor50,General
51,rutdoctor51,correo51@doctor.com,nombredoctor51,apellidodoctor51,Cardiologia
52,rutdoctor52,correo52@doctor.com,nombredoctor52,apellidodoctor52,Broncopulmonar
53,rutdoctor53,correo53@doctor.com,nombredoctor53,apellidodoctor53,Gastronterologo
54,rutdoctor54,correo54@doctor.com,nombredoctor54,apellidodoctor54,Dermatologia
55,rutdoctor55,correo55@doctor.com,nombredoctor55,apellidodoctor55,General
56,rutdoctor56,correo56@doctor.com,nombredoctor56,apellidodoctor56,Cardiologia
57,rutdoctor57,correo57@doctor.com,nombredoctor57,apellidodoctor57,Broncopulmonar
58,rutdoctor58,correo58@doctor.com,nombredoctor58,apellidodoctor58,Gastronterologo
59,rutdoctor59,correo59@doctor.com,nombredoctor59,apellidodoctor59,Dermatologia
60,rutdoctor60,correo60@doctor.com,nombredoctor60,apellidodoctor60,General
61,rutdoctor61,correo61@doctor.com,nombredoctor61,apellidodoctor61,Cardiologia
62,rutdoctor62,correo62@doctor.com,nombredoctor62,apellidodoctor62,Broncopulmonar
63,rutdoctor63,correo63@doctor.com,nombredoctor63,apellidodoctor63,Gastronterologo
64,rutdoctor64,correo64@doctor.com,nombredoctor64,apellidodoctor64,Dermatologia
65,rutdoctor65,correo65@doctor.com,nombredoctor65,apellidodoctor65,General
66,rutdoctor66,correo66@doctor.com,nombredoctor66,apellidodoctor66,Cardiologia
67,rutdoctor67,correo67@doctor.com,nombredoctor67,apellidodoctor67,Broncopulmonar
68,rutdoctor68,correo68@doctor.com,nombredoctor68,apellidodoctor68,Gastronterologo
69,rutdoctor69,correo69@doctor.com,nombredoctor69,apellidodoctor69,Dermatologia
70,rutdoctor70,correo70@doctor.com,nombredoctor70,apellidodoctor70,General
71,rutdoctor71,correo71@doctor.com,nombredoctor71,apellidodoctor71,Cardiologia
72,rutdoctor72,correo72@doctor.com,nombredoctor72,apellidodoctor72,Broncopulmonar
73,rutdoctor73,correo73@doctor.com,nombredoctor73,apellidodoctor73,Gastronterologo
74,rutdoctor74,correo74@doctor.com,nombredoctor74,apellidodoctor74,Dermatologia
75,rutdoctor75,correo75@doctor.com,nombredoctor75,apellidodoctor75,General
76,rutdoctor76,correo76@doctor.com,nombredoctor76,apellidodoctor76,Cardiologia
77,rutdoctor77,correo77@doctor.com,nombredoctor77,apellidodoctor77,Broncopulmonar
78,rutdoctor78,correo78@doctor.com,nombredoctor78,apellidodoctor78,Gastronterologo
79,rutdoctor79,correo79@doctor.com,nombredoctor79,apellidodoctor79,Dermatologia
80,rutdoctor80,correo80@doctor.com,nombredoctor80,apellidodoctor80,General
81,rutdoctor81,correo81@doctor.com,nombredoctor81,apellidodoctor81,Cardiologia
82,rutdoctor82,correo82@doctor.com,nombredoctor82,apellidodoctor82,Broncopulmonar
83,rutdoctor83,correo83@doctor.com,nombredoctor83,apellidodoctor83,Gastronterologo
84,rutdoctor84,correo84@doctor.com,nombredoctor84,apellidodoctor84,Dermatologia
85,rutdoctor85,correo85@doctor.com,nombredoctor85,apellidodoctor85,General
86,rutdoctor86,correo86@doctor.com,nombredoctor86,apellidodoctor86,Cardiologia
87,rutdoctor87,correo87@doctor.com,nombredoctor87,apellidodoctor87,Broncopulmonar
