doctor(identificador,rut,email,Nombre,apellido,especialidad).
doctor(0,rutdoctor0,correo0@doctor.com,nombredoctor0,apellidodoctor0,General).
doctor(1,rutdoctor1,correo1@doctor.com,nombredoctor1,apellidodoctor1,Cardiologia).
doctor(2,rutdoctor2,correo2@doctor.com,nombredoctor2,apellidodoctor2,Broncopulmonar).
doctor(3,rutdoctor3,correo3@doctor.com,nombredoctor3,apellidodoctor3,Gastronterologo).
doctor(4,rutdoctor4,correo4@doctor.com,nombredoctor4,apellidodoctor4,Dermatologia).
doctor(5,rutdoctor5,correo5@doctor.com,nombredoctor5,apellidodoctor5,General).
doctor(6,rutdoctor6,correo6@doctor.com,nombredoctor6,apellidodoctor6,Cardiologia).
doctor(7,rutdoctor7,correo7@doctor.com,nombredoctor7,apellidodoctor7,Broncopulmonar).
doctor(8,rutdoctor8,correo8@doctor.com,nombredoctor8,apellidodoctor8,Gastronterologo).
doctor(9,rutdoctor9,correo9@doctor.com,nombredoctor9,apellidodoctor9,Dermatologia).
doctor(10,rutdoctor10,correo10@doctor.com,nombredoctor10,apellidodoctor10,General).
doctor(11,rutdoctor11,correo11@doctor.com,nombredoctor11,apellidodoctor11,Cardiologia).
doctor(12,rutdoctor12,correo12@doctor.com,nombredoctor12,apellidodoctor12,Broncopulmonar).
doctor(13,rutdoctor13,correo13@doctor.com,nombredoctor13,apellidodoctor13,Gastronterologo).
doctor(14,rutdoctor14,correo14@doctor.com,nombredoctor14,apellidodoctor14,Dermatologia).
doctor(15,rutdoctor15,correo15@doctor.com,nombredoctor15,apellidodoctor15,General).
doctor(16,rutdoctor16,correo16@doctor.com,nombredoctor16,apellidodoctor16,Cardiologia).
doctor(17,rutdoctor17,correo17@doctor.com,nombredoctor17,apellidodoctor17,Broncopulmonar).
doctor(18,rutdoctor18,correo18@doctor.com,nombredoctor18,apellidodoctor18,Gastronterologo).
doctor(19,rutdoctor19,correo19@doctor.com,nombredoctor19,apellidodoctor19,Dermatologia).
doctor(20,rutdoctor20,correo20@doctor.com,nombredoctor20,apellidodoctor20,General).
doctor(21,rutdoctor21,correo21@doctor.com,nombredoctor21,apellidodoctor21,Cardiologia).
doctor(22,rutdoctor22,correo22@doctor.com,nombredoctor22,apellidodoctor22,Broncopulmonar).
doctor(23,rutdoctor23,correo23@doctor.com,nombredoctor23,apellidodoctor23,Gastronterologo).
doctor(24,rutdoctor24,correo24@doctor.com,nombredoctor24,apellidodoctor24,Dermatologia).
doctor(25,rutdoctor25,correo25@doctor.com,nombredoctor25,apellidodoctor25,General).
doctor(26,rutdoctor26,correo26@doctor.com,nombredoctor26,apellidodoctor26,Cardiologia).
doctor(27,rutdoctor27,correo27@doctor.com,nombredoctor27,apellidodoctor27,Broncopulmonar).
doctor(28,rutdoctor28,correo28@doctor.com,nombredoctor28,apellidodoctor28,Gastronterologo).
doctor(29,rutdoctor29,correo29@doctor.com,nombredoctor29,apellidodoctor29,Dermatologia).
